PATH_ID	pathway_name	info_url	description_brief	contributor	name_systematic
19	chr1q41	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1q41	Anthony Castanza	M8067
20	chr1q42	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1q42	Anthony Castanza	M9891
21	chr1q43	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1q43	Anthony Castanza	M15819
22	chr1q44	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=1	Ensembl 109 genes in cytogenetic band chr1q44	Anthony Castanza	M15976
23	chr10p11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=10	Ensembl 109 genes in cytogenetic band chr10p11	Anthony Castanza	M18358
24	chr10p12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=10	Ensembl 109 genes in cytogenetic band chr10p12	Anthony Castanza	M16888
25	chr10p13	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=10	Ensembl 109 genes in cytogenetic band chr10p13	Anthony Castanza	M12412
26	chr10p14	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=10	Ensembl 109 genes in cytogenetic band chr10p14	Anthony Castanza	M2992
27	chr10p15	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=10	Ensembl 109 genes in cytogenetic band chr10p15	Anthony Castanza	M16648
28	chr10q11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=10	Ensembl 109 genes in cytogenetic band chr10q11	Anthony Castanza	M7676
29	chr10q21	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=10	Ensembl 109 genes in cytogenetic band chr10q21	Anthony Castanza	M11384
30	chr10q22	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=10	Ensembl 109 genes in cytogenetic band chr10q22	Anthony Castanza	M558
31	chr10q23	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=10	Ensembl 109 genes in cytogenetic band chr10q23	Anthony Castanza	M1933
32	chr10q24	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=10	Ensembl 109 genes in cytogenetic band chr10q24	Anthony Castanza	M6304
33	chr10q25	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=10	Ensembl 109 genes in cytogenetic band chr10q25	Anthony Castanza	M17303
34	chr10q26	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=10	Ensembl 109 genes in cytogenetic band chr10q26	Anthony Castanza	M8014
35	chr11p11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=11	Ensembl 109 genes in cytogenetic band chr11p11	Anthony Castanza	M8254
36	chr11p12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=11	Ensembl 109 genes in cytogenetic band chr11p12	Anthony Castanza	M6976
37	chr11p13	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=11	Ensembl 109 genes in cytogenetic band chr11p13	Anthony Castanza	M5824
38	chr11p14	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=11	Ensembl 109 genes in cytogenetic band chr11p14	Anthony Castanza	M19140
39	chr11p15	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=11	Ensembl 109 genes in cytogenetic band chr11p15	Anthony Castanza	M9514
40	chr11q11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=11	Ensembl 109 genes in cytogenetic band chr11q11	Anthony Castanza	M3966
41	chr11q12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=11	Ensembl 109 genes in cytogenetic band chr11q12	Anthony Castanza	M5761
42	chr11q13	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=11	Ensembl 109 genes in cytogenetic band chr11q13	Anthony Castanza	M11664
43	chr11q14	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=11	Ensembl 109 genes in cytogenetic band chr11q14	Anthony Castanza	M3443
44	chr11q21	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=11	Ensembl 109 genes in cytogenetic band chr11q21	Anthony Castanza	M18273
45	chr11q22	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=11	Ensembl 109 genes in cytogenetic band chr11q22	Anthony Castanza	M10823
46	chr11q23	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=11	Ensembl 109 genes in cytogenetic band chr11q23	Anthony Castanza	M831
47	chr11q24	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=11	Ensembl 109 genes in cytogenetic band chr11q24	Anthony Castanza	M18542
48	chr11q25	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=11	Ensembl 109 genes in cytogenetic band chr11q25	Anthony Castanza	M1628
49	chr12p11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=12	Ensembl 109 genes in cytogenetic band chr12p11	Anthony Castanza	M12062
50	chr12p12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=12	Ensembl 109 genes in cytogenetic band chr12p12	Anthony Castanza	M18382
51	chr12p13	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=12	Ensembl 109 genes in cytogenetic band chr12p13	Anthony Castanza	M6845
52	chr12q12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=12	Ensembl 109 genes in cytogenetic band chr12q12	Anthony Castanza	M11138
53	chr12q13	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=12	Ensembl 109 genes in cytogenetic band chr12q13	Anthony Castanza	M8020
54	chr12q14	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=12	Ensembl 109 genes in cytogenetic band chr12q14	Anthony Castanza	M7359
55	chr12q15	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=12	Ensembl 109 genes in cytogenetic band chr12q15	Anthony Castanza	M19138
56	chr12q21	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=12	Ensembl 109 genes in cytogenetic band chr12q21	Anthony Castanza	M12945
57	chr12q22	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=12	Ensembl 109 genes in cytogenetic band chr12q22	Anthony Castanza	M16212
58	chr12q23	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=12	Ensembl 109 genes in cytogenetic band chr12q23	Anthony Castanza	M18413
59	chr12q24	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=12	Ensembl 109 genes in cytogenetic band chr12q24	Anthony Castanza	M18147
60	chr13q11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=13	Ensembl 109 genes in cytogenetic band chr13q11	Anthony Castanza	M12340
61	chr13q12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=13	Ensembl 109 genes in cytogenetic band chr13q12	Anthony Castanza	M8835
62	chr13q13	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=13	Ensembl 109 genes in cytogenetic band chr13q13	Anthony Castanza	M11694
63	chr13q14	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=13	Ensembl 109 genes in cytogenetic band chr13q14	Anthony Castanza	M16785
64	chr13q21	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=13	Ensembl 109 genes in cytogenetic band chr13q21	Anthony Castanza	M10019
65	chr13q22	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=13	Ensembl 109 genes in cytogenetic band chr13q22	Anthony Castanza	M5158
66	chr13q31	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=13	Ensembl 109 genes in cytogenetic band chr13q31	Anthony Castanza	M7051
67	chr13q32	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=13	Ensembl 109 genes in cytogenetic band chr13q32	Anthony Castanza	M16825
68	chr13q33	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=13	Ensembl 109 genes in cytogenetic band chr13q33	Anthony Castanza	M3924
69	chr13q34	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=13	Ensembl 109 genes in cytogenetic band chr13q34	Anthony Castanza	M1302
70	chr14q11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=14	Ensembl 109 genes in cytogenetic band chr14q11	Anthony Castanza	M8787
71	chr14q12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=14	Ensembl 109 genes in cytogenetic band chr14q12	Anthony Castanza	M11846
72	chr14q13	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=14	Ensembl 109 genes in cytogenetic band chr14q13	Anthony Castanza	M16500
73	chr14q21	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=14	Ensembl 109 genes in cytogenetic band chr14q21	Anthony Castanza	M7803
74	chr14q22	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=14	Ensembl 109 genes in cytogenetic band chr14q22	Anthony Castanza	M7052
75	chr14q23	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=14	Ensembl 109 genes in cytogenetic band chr14q23	Anthony Castanza	M14773
76	chr14q24	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=14	Ensembl 109 genes in cytogenetic band chr14q24	Anthony Castanza	M1258
77	chr14q31	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=14	Ensembl 109 genes in cytogenetic band chr14q31	Anthony Castanza	M16850
78	chr14q32	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=14	Ensembl 109 genes in cytogenetic band chr14q32	Anthony Castanza	M16134
79	chr15q11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=15	Ensembl 109 genes in cytogenetic band chr15q11	Anthony Castanza	M11848
80	chr15q12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=15	Ensembl 109 genes in cytogenetic band chr15q12	Anthony Castanza	M22104
81	chr15q13	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=15	Ensembl 109 genes in cytogenetic band chr15q13	Anthony Castanza	M11097
82	chr15q14	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=15	Ensembl 109 genes in cytogenetic band chr15q14	Anthony Castanza	M11310
83	chr15q15	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=15	Ensembl 109 genes in cytogenetic band chr15q15	Anthony Castanza	M7154
84	chr15q21	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=15	Ensembl 109 genes in cytogenetic band chr15q21	Anthony Castanza	M3959
85	chr15q22	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=15	Ensembl 109 genes in cytogenetic band chr15q22	Anthony Castanza	M2335
86	chr15q23	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=15	Ensembl 109 genes in cytogenetic band chr15q23	Anthony Castanza	M15373
87	chr15q24	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=15	Ensembl 109 genes in cytogenetic band chr15q24	Anthony Castanza	M9231
88	chr15q25	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=15	Ensembl 109 genes in cytogenetic band chr15q25	Anthony Castanza	M5764
89	chr15q26	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=15	Ensembl 109 genes in cytogenetic band chr15q26	Anthony Castanza	M18957
90	chr16p11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=16	Ensembl 109 genes in cytogenetic band chr16p11	Anthony Castanza	M13160
91	chr16p12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=16	Ensembl 109 genes in cytogenetic band chr16p12	Anthony Castanza	M17179
92	chr16p13	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=16	Ensembl 109 genes in cytogenetic band chr16p13	Anthony Castanza	M9048
93	chr16q11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=16	Ensembl 109 genes in cytogenetic band chr16q11	Anthony Castanza	M19266
94	chr16q12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=16	Ensembl 109 genes in cytogenetic band chr16q12	Anthony Castanza	M8333
95	chr16q13	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=16	Ensembl 109 genes in cytogenetic band chr16q13	Anthony Castanza	M2272
96	chr16q21	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=16	Ensembl 109 genes in cytogenetic band chr16q21	Anthony Castanza	M14505
97	chr16q22	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=16	Ensembl 109 genes in cytogenetic band chr16q22	Anthony Castanza	M10488
98	chr16q23	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=16	Ensembl 109 genes in cytogenetic band chr16q23	Anthony Castanza	M2744
99	chr16q24	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=16	Ensembl 109 genes in cytogenetic band chr16q24	Anthony Castanza	M9818
100	chr17p11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=17	Ensembl 109 genes in cytogenetic band chr17p11	Anthony Castanza	M9816
101	chr17p12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=17	Ensembl 109 genes in cytogenetic band chr17p12	Anthony Castanza	M10133
102	chr17p13	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=17	Ensembl 109 genes in cytogenetic band chr17p13	Anthony Castanza	M9760
103	chr17q11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=17	Ensembl 109 genes in cytogenetic band chr17q11	Anthony Castanza	M11706
104	chr17q12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=17	Ensembl 109 genes in cytogenetic band chr17q12	Anthony Castanza	M3433
105	chr17q21	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=17	Ensembl 109 genes in cytogenetic band chr17q21	Anthony Castanza	M8783
106	chr17q22	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=17	Ensembl 109 genes in cytogenetic band chr17q22	Anthony Castanza	M16047
107	chr17q23	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=17	Ensembl 109 genes in cytogenetic band chr17q23	Anthony Castanza	M19737
108	chr17q24	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=17	Ensembl 109 genes in cytogenetic band chr17q24	Anthony Castanza	M4340
109	chr17q25	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=17	Ensembl 109 genes in cytogenetic band chr17q25	Anthony Castanza	M8281
110	chr18p11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=18	Ensembl 109 genes in cytogenetic band chr18p11	Anthony Castanza	M4748
111	chr18q11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=18	Ensembl 109 genes in cytogenetic band chr18q11	Anthony Castanza	M16558
112	chr18q12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=18	Ensembl 109 genes in cytogenetic band chr18q12	Anthony Castanza	M12525
113	chr18q21	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=18	Ensembl 109 genes in cytogenetic band chr18q21	Anthony Castanza	M19127
114	chr18q22	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=18	Ensembl 109 genes in cytogenetic band chr18q22	Anthony Castanza	M14543
115	chr18q23	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=18	Ensembl 109 genes in cytogenetic band chr18q23	Anthony Castanza	M8988
116	chr19p12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=19	Ensembl 109 genes in cytogenetic band chr19p12	Anthony Castanza	M13706
117	chr19p13	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=19	Ensembl 109 genes in cytogenetic band chr19p13	Anthony Castanza	M17751
118	chr19q11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=19	Ensembl 109 genes in cytogenetic band chr19q11	Anthony Castanza	M45661
119	chr19q12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=19	Ensembl 109 genes in cytogenetic band chr19q12	Anthony Castanza	M9758
120	chr19q13	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=19	Ensembl 109 genes in cytogenetic band chr19q13	Anthony Castanza	M561
121	chr2p11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2p11	Anthony Castanza	M14768
122	chr2p12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2p12	Anthony Castanza	M14784
123	chr2p13	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2p13	Anthony Castanza	M19967
124	chr2p14	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2p14	Anthony Castanza	M1082
125	chr2p15	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2p15	Anthony Castanza	M4165
126	chr2p16	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2p16	Anthony Castanza	M7078
127	chr2p21	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2p21	Anthony Castanza	M5325
128	chr2p22	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2p22	Anthony Castanza	M2264
129	chr2p23	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2p23	Anthony Castanza	M3211
130	chr2p24	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2p24	Anthony Castanza	M7378
131	chr2p25	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2p25	Anthony Castanza	M1027
132	chr2q11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2q11	Anthony Castanza	M1900
133	chr2q12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2q12	Anthony Castanza	M10969
134	chr2q13	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2q13	Anthony Castanza	M6210
135	chr2q14	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2q14	Anthony Castanza	M16205
136	chr2q21	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2q21	Anthony Castanza	M7812
137	chr2q22	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2q22	Anthony Castanza	M12720
138	chr2q23	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2q23	Anthony Castanza	M4422
139	chr2q24	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2q24	Anthony Castanza	M13084
140	chr2q31	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2q31	Anthony Castanza	M9939
141	chr2q32	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2q32	Anthony Castanza	M4254
142	chr2q33	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2q33	Anthony Castanza	M7425
143	chr2q34	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2q34	Anthony Castanza	M680
144	chr2q35	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2q35	Anthony Castanza	M3890
145	chr2q36	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2q36	Anthony Castanza	M6742
146	chr2q37	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=2	Ensembl 109 genes in cytogenetic band chr2q37	Anthony Castanza	M3783
147	chr20p11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=20	Ensembl 109 genes in cytogenetic band chr20p11	Anthony Castanza	M18324
148	chr20p12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=20	Ensembl 109 genes in cytogenetic band chr20p12	Anthony Castanza	M5269
149	chr20p13	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=20	Ensembl 109 genes in cytogenetic band chr20p13	Anthony Castanza	M3658
150	chr20q11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=20	Ensembl 109 genes in cytogenetic band chr20q11	Anthony Castanza	M1556
151	chr20q12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=20	Ensembl 109 genes in cytogenetic band chr20q12	Anthony Castanza	M15289
152	chr20q13	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=20	Ensembl 109 genes in cytogenetic band chr20q13	Anthony Castanza	M6627
153	chr21p11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=21	Ensembl 109 genes in cytogenetic band chr21p11	Anthony Castanza	M16860
154	chr21q11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=21	Ensembl 109 genes in cytogenetic band chr21q11	Anthony Castanza	M4325
155	chr21q21	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=21	Ensembl 109 genes in cytogenetic band chr21q21	Anthony Castanza	M19516
156	chr21q22	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=21	Ensembl 109 genes in cytogenetic band chr21q22	Anthony Castanza	M15759
157	chr22q11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=22	Ensembl 109 genes in cytogenetic band chr22q11	Anthony Castanza	M9468
158	chr22q12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=22	Ensembl 109 genes in cytogenetic band chr22q12	Anthony Castanza	M35
159	chr22q13	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=22	Ensembl 109 genes in cytogenetic band chr22q13	Anthony Castanza	M17432
160	chr3p11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3p11	Anthony Castanza	M5512
161	chr3p12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3p12	Anthony Castanza	M16747
162	chr3p13	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3p13	Anthony Castanza	M12640
163	chr3p14	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3p14	Anthony Castanza	M16098
164	chr3p21	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3p21	Anthony Castanza	M2833
165	chr3p22	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3p22	Anthony Castanza	M13652
166	chr3p23	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3p23	Anthony Castanza	M4690
167	chr3p24	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3p24	Anthony Castanza	M2406
168	chr3p25	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3p25	Anthony Castanza	M9355
169	chr3p26	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3p26	Anthony Castanza	M17645
170	chr3q11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3q11	Anthony Castanza	M5965
171	chr3q12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3q12	Anthony Castanza	M19018
172	chr3q13	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3q13	Anthony Castanza	M3650
173	chr3q21	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3q21	Anthony Castanza	M15073
174	chr3q22	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3q22	Anthony Castanza	M15482
175	chr3q23	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3q23	Anthony Castanza	M3522
176	chr3q24	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3q24	Anthony Castanza	M10226
177	chr3q25	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3q25	Anthony Castanza	M19593
178	chr3q26	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3q26	Anthony Castanza	M1166
179	chr3q27	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3q27	Anthony Castanza	M3066
180	chr3q28	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3q28	Anthony Castanza	M7149
181	chr3q29	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=3	Ensembl 109 genes in cytogenetic band chr3q29	Anthony Castanza	M7979
182	chr4p11	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=4	Ensembl 109 genes in cytogenetic band chr4p11	Anthony Castanza	M14148
183	chr4p12	https://ensembl.org/Homo_sapiens/Location/Chromosome?r=4	Ensembl 109 genes in cytogenetic band chr4p12	Anthony Castanza	M11919
